This file contains the x and y coordinate for possible block positions.
max X: 700, max y: 500
	x		y
	110		110
	110		145
	110		180
	110		215
	110		250
	110		285
	110		320
	110		355
	110		390
	110		425
	110		460
	110		495
	145		110
	145		145
	145		180
	145		215
	145		250
	145		285
	145		320
	145		355
	145		390
	145		425
	145		460
	145		495
	180		110
	180		145
	180		180
	180		215
	180		250
	180		285
	180		320
	180		355
	180		390
	180		425
	180		460
	180		495
	215		110
	215		145
	215		180
	215		215
	215		250
	215		285
	215		320
	215		355
	215		390
	215		425
	215		460
	215		495
	250		110
	250		145
	250		180
	250		215		
	250		250
	250		285
	250		320
	250		355
	250		390
	250		425
	250		460
	250		495
	285		110
	285		145
	285		180
	285		215
	285		250
	285		285
	285		320
	285		355
	285		390
	285		425
	285		460
	285		495
	320		110
	320		145
	320		180
	320		215
	320		250
	320		285
	320		320
	320		355
	320		390
	320		425
	320		460
	320		495
	355		110
	355		145
	355		180
	355		215
	355		250
	355		285
	355		320
	355		355
	355		390
	355		425
	355		460
	355		495
	390		110
	390		145
	390		180
	390		215
	390		250
	390		285
	390		320
	390		355
	390		390
	390		425
	390		460
	390		495
	425		110
	425		145
	425		180
	425		215
	425		250
	425		285
	425		320
	425		355
	425		390
	425		425
	425		460
	425		495
	460		110
	460		145
	460		180
	460		215
	460		250
	460		285
	460		320
	460		355
	460		390
	460		425
	460		460
	460		495
	495		110
	495		145
	495		180
	495		215
	495		250
	495		285
	495		320
	495		355
	495		390
	495		425
	495		460
	495		495
	530		110
	530		145
	530		180
	530		215
	530		250
	530		285
	530		320
	530		355
	530		390
	530		425
	530		460
	530		495
	565		110
	565		145
	565		180
	565		215
	565		250
	565		285
	565		320
	565		355
	565		390
	565		425
	565		460
	565		495
	600		110
	600		145
	600		180
	600		215
	600		250
	600		285
	600		320
	600		355
	600		390
	600		425
	600		460
	600		495
	635		110
	635		145
	635		180
	635		215
	635		250
	635		285
	635		320
	635		355
	635		390
	635		425
	635		460
	635		495
	670		110
	670		145
	670		180
	670		215
	670		250	
	670		285
	670		320
	670		355
	670		390
	670		425
	670		460
	670		495
	705		110
	705		145
	705		180
	705		215
	705		250
	705		285
	705		320
	705		355
	705		390
	705		425
	705		460
	705		495
